"section","subsection","element","Value"
"Overview","Authorship","Study title","Modeling the Current and Future Distribution of Sweet Chestnut (Castanea sativa Mill.) in Türkiye Using a Multi-Scale Approach"
"Overview","Authorship","Author names","Huseyin Dogan; Osman Yalcin Yilmaz"
"Overview","Authorship","Contact ","ozgurhsyndgn@gmail.com, yilmazy@iuc.edu.tr"
"Overview","Authorship","Study link","-"
"Overview","Model objective","Model objective","Forecast and transfer"
"Overview","Model objective","Target output","Suitable vs. unsuitable habitat comparison by different scale models and GCMs"
"Overview","Focal Taxon","Focal Taxon","Castanea sativa"
"Overview","Location","Location","Türkiye"
"Overview","Scale of Analysis","Spatial extent","25.67, 44.82, 35.81, 42.1 (xmin, xmax, ymin, ymax)"
"Overview","Scale of Analysis","Spatial resolution","1km for National and 120meters for Regional Models"
"Overview","Scale of Analysis","Temporal extent","Current, 2011-2040 and 2041-2070 from CHELSA2.1 : Current,  2021-2040 and 2041-2060 from WorldClim2.1 datasets."
"Overview","Scale of Analysis","Temporal resolution","none"
"Overview","Scale of Analysis","Boundary","political"
"Overview","Biodiversity data","Observation type","field survey; national forest inventory records; herbarium records"
"Overview","Biodiversity data","Response data type","presence-only; presence/pseudo-absence"
"Overview","Predictors","Predictor types","climatic; topographic; hydrological"
"Overview","Hypotheses","Hypotheses","The hypotheses about species-environment relationships are centered on the idea that the distribution of sweet chestnut (Castanea sativa) is primarily governed by a combination of macroclimatic and micro-scale environmental factors. At the national scale, the distribution is believed to be shaped by broad climatic variables, such as temperature seasonality, mean temperature of the warmest quarter, annual precipitation, and precipitation seasonality. At a more local, regional scale, the hypothesis is that microhabitat variability plays a crucial role. This is captured by specific topographic and hydrological variables, including Direct Insolation, Slope, Minimal Curvature, and Vertical Distance to Channel Network. The study's multi-scale, hierarchical modeling approach is designed to test these hypotheses by integrating both macroclimatic and fine-scale landscape features, thereby providing a more nuanced understanding of how these different environmental gradients collectively influence the species' distribution."
